,R,Br
606062,0.0,0.00196243367818
619831,25.0,0.008109072508319999
633600,50.0,0.0181796124744
647369,75.0,0.0282460569459
661138,100.0,0.0383039922369
674907,125.0,0.0483470394381
688676,150.0,0.0583661236481
702445,175.0,0.0683486802623
716214,200.0,0.07827778862380001
729983,225.0,0.08813122753810002
743752,250.0,0.0978804521799
757521,275.0,0.107489497672
771290,300.0,0.11691382096999998
785059,325.0,0.12609909958499999
798828,350.0,0.134980013487
812597,375.0,0.143479046049
826366,400.0,0.15150535327
840135,425.0,0.15895377126000002
853904,450.0,0.165704066049
867673,475.0,0.17162058624200002
881442,500.0,0.17655257097899998
895211,525.0,0.18033551089400002
908980,550.0,0.182794181558
922749,575.0,0.18374829313000002
936518,600.0,0.183022147641
950287,625.0,0.180460259245
964056,650.0,0.175951484577
977825,675.0,0.169464552413
991594,700.0,0.161097320009
1005363,725.0,0.151139350176
1019132,750.0,0.14014056182600002
1032901,775.0,0.128965997698
1046670,800.0,0.118799613271
1060439,825.0,0.1110485508
1074208,850.0,0.10711500630000001
1087977,875.0,0.10806403041899999
1101746,900.0,0.114303173088
1115515,925.0,0.125431761206
1129284,950.0,0.140349388946
1143053,975.0,0.15756928660800001
1156822,1000.0,0.175580149744
1170591,1025.0,0.19311362651099998
1184360,1050.0,0.209264124531
1198129,1075.0,0.22348754025800002
1211898,1100.0,0.235534872492
